Team,Player,Event,Type,X,Y,X2,Y2
ARG,L.Messi,Cross,,94,84,96,52
AUS,H.Souttar,Pass,,95,52,81,65
ARG,Papu Gomez,Pass,,80,65,92,86
ARG,L.Messi,Pass,,88,83,79,58
ARG,N.Otamendi,Pass,Assist,79,57,88,55
ARG,L.Messi,Shot,Goal,88,53,99,39
ARG,J.Alvarez,Shot,Goal,92,62,99,40
AUS,Goodwin,Shot,,19,71,12,62
ARG,E.Fernandez,Shot,Goal,11,61,1,39
ARG,L.Martinez,Shot,,90,69,99,28
ARG,L.Martinez,Shot,,89,37,100,66
ARG,L.Martinez,Shot,,92,40,96,47
ARG,L.Messi,Shot,,89,65,99,34
ARG,L.Martinez,Shot,,90,39,97,52
AUS,G.Kuol,Shot,,8,35,4,39
