Team,Player,Event,Type,X,Y,X2,Y2
BRA,Raphinha,Dribble,Goal_1Game,80,94,75,84
BRA,Raphinha,Pass,Goal_1Game,75,84,68,73
BRA,Casemiro,Pass,Goal_1Game,68,73,75,66
BRA,Paqueta,Pass,Goal_1Game,75,66,83,74
BRA,Raphinha,Dribble,Goal_1Game,84,74,97,71
BRA,Raphinha,Pass,Goal_1Game,97,70,90,32
BRA,V. Junior,Shot,Goal_1,90,32,99,47
BRA,Neymar,Shot,Goal_2,89,50,99,51
KOR,h. hwang,Shot,Chance,26,56,1,43
BRA,Richarlson,Dribble,Goal_3Game,83,67,77,68
BRA,Richarlson,Pass,Goal_3Game,76,67,83,68
BRA,Marquinhos,Pass,Goal_3Game,83,68,82,48
BRA,T. Silva,Pass,Goal_3Game,82,47,91,55
BRA,Richarlson,Shot,Goal_3,91,54,99,46
BRA,Neymar,Pass,Goal_4Game,67,28,90,25
BRA,V. Junior,Pass,Goal_4Game,94,26,91,54
BRA,Paqueta,Shot,Goal_4,91,54,99,46
BRA,Paqueta,Shot,Chance,93,61,98,54
KOR,H.Son,Shot,Chance,11,64,1,39
BRA,Raphinha,Shot,Chance,90,68,98,45
BRA,V. Junior,Shot,Chance,89,38,98,40
BRA,Raphinha,Shot,Chance,96,67,98,58
KOR,Paik Seung-ho,Shot,Chance,26,47,1,53
KOR,h. hwang,Shot,Goal_1,12,39,2,50
