Team,Player,Event,Type,X,Y,X2,Y2
ARG,Messi,Shot,Goal_1,89,50,99,54
ARG,Molina,Pass,Goal_2Game,20,83,36,61
ARG,Mac Allister,Pass,Goal_2Game,35,61,46,66
ARG,Messi,Pass,Goal_2Game,46,66,53,82
ARG,Alvarez, Pass,Goal_2Game,52,81,82,67
ARG,Mac Allister,Pass,Goal_2Game,82,67,92,36
ARG,Di Maria,Shot,Goal_2,92,36,98,51
FRA,Mbappe,Shot,Goal_1,11,50,1,54
FRA,Coman,Pass,Goal_2Game,31,21,36,39
FRA,Rabiot,Pass,Goal_2Game,36,38,20,76
FRA,Mbappe,Pass,Goal_2Game,20,76,22,66
FRA,Thuram,Pass,Goal_2Game,22,66,10,67
FRA,Mbappe,Shot,Goal_2,10,67,1,45
ARG,G.Montiel,Pass,Goal_3Game,54,88,80,73
ARG,Martinez,Pass,Goal_3Game,80,73,78,82
ARG,Messi,Pass,Goal_3Game,78,81,79,62
ARG,E.Fernandez,Pass,Goal_3Game,79,62,93,69
ARG,Martinez,Shot,Goal_3Game,94,68,98,56
ARG,Messi,Shot,Goal_3,95,56,98,51
FRA,Mbappe,Shot,Goal_3,11,50,1,55
